metric,intervention_mean,original,delta
O.f1,0.043615017629833414,0.449,-0.4053849823701666
F_m.f1,0.03139981480902378,,
OF_m.f1,0.030151669448131788,0.4547,-0.4245483305518682
F_mw.f1,0.03139981480902378,,
OF_mw.f1,0.03177748401396849,0.4526,-0.4208225159860315
O.AUPRC,0.05785323489981424,0.45,-0.39214676510018576
F_m.AUPRC,0.0527366020668856,,
OF_m.AUPRC,0.05659868030909796,0.4618,-0.405201319690902
F_mw.AUPRC,0.0527366020668856,,
OF_mw.AUPRC,0.05668752407395552,0.4627,-0.4060124759260445
O.AUROC,0.6825672821460713,0.9069,-0.22433271785392872
F_m.AUROC,0.6700630531289167,,
OF_m.AUROC,0.6782158267576694,0.9082,-0.22998417324233056
F_mw.AUROC,0.6700630531289167,,
OF_mw.AUROC,0.6783974021944696,0.9065,-0.22810259780553033
O.Brier,0.021956067810319918,0.0164,0.005556067810319917
F_m.Brier,0.0220124848139625,,
OF_m.Brier,0.022013000859688305,0.0164,0.005613000859688303
F_mw.Brier,0.0220124848139625,,
OF_mw.Brier,0.022013753223185724,0.0164,0.0056137532231857225
O.ECE,0.01984893330154991,0.0154,0.004448933301549909
F_m.ECE,0.020190236554042555,,
OF_m.ECE,0.02059076996008448,0.0158,0.0047907699600844775
F_mw.ECE,0.020190236554042555,,
OF_mw.ECE,0.02060184965869686,0.0156,0.00500184965869686
