,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
m,0.4566,0.5032,0.9148,0.0148,0.0076,0.0259,0.0595,0.676,0.0214,0.004,0.4715,0.4919,0.9127,0.0151,0.0073
mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.0,0.0302,0.633,0.0217,0.0029,0.5045,0.5102,0.9129,0.0148,0.0071
m+mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.0181,0.1139,0.7653,0.0208,0.0061,0.4859,0.4987,0.9142,0.0147,0.0069
