,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.2869,0.2621,0.8719,0.0479,0.1034,0.4018,0.4472,0.9118,0.0467,0.1054
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.2868,0.2674,0.8742,0.0462,0.0975,0.397,0.4372,0.9089,0.0424,0.1074
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.2833,0.2645,0.8744,0.0434,0.0858,0.402,0.4665,0.9146,0.0298,0.0572
