,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4296,0.4725,0.9119,0.0294,0.0564,0.4581,0.5015,0.9196,0.0285,0.055
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4602,0.4915,0.9129,0.023,0.0301,0.4535,0.5039,0.9202,0.0324,0.0716
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4381,0.475,0.9125,0.0238,0.0299,0.4198,0.4681,0.9113,0.0454,0.105
