,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
m,0.4566,0.5032,0.9148,0.0148,0.0076,0.4458,0.4697,0.909,0.0153,0.0076,0.4556,0.4918,0.9094,0.0152,0.0073
mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.4222,0.4798,0.9096,0.0153,0.0074,0.4898,0.4896,0.9167,0.0153,0.0083
m+mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.4488,0.4708,0.9143,0.0156,0.0068,0.4651,0.4602,0.9171,0.0155,0.0084
