,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,
m,0.3551,0.4408,0.9097,0.0593,0.1455,0.3786,0.462,0.9167,0.0464,0.1142,0.3776,0.4634,0.9188,0.0451,0.1056
mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3857,0.4411,0.9204,0.043,0.1038,0.3706,0.4524,0.9188,0.0503,0.1186
m+mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3709,0.4477,0.9134,0.0511,0.1323,0.3709,0.4491,0.912,0.06,0.1474
