_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
24,0.263811,0.284748,0.272143,0.261934,0.264122,0.220418,0.248522,0.228665,0.229281,0.226619,0.858002,0.856875,0.854647,0.860221,0.856911,0.020677,0.02034,0.020639,0.020729,0.020726,0.018793,0.019273,0.019548,0.019854,0.020092
25,0.256333,0.294155,0.264676,0.30604,0.280938,0.23895,0.255152,0.245972,0.250313,0.260542,0.868078,0.857191,0.863065,0.861566,0.865895,0.020236,0.020141,0.020322,0.02022,0.020149,0.018354,0.018648,0.019654,0.018833,0.019578
26,0.268226,0.311161,0.304677,0.305316,0.277005,0.240905,0.257653,0.251054,0.251808,0.252884,0.860912,0.867672,0.866987,0.870214,0.866049,0.020192,0.020181,0.020176,0.020236,0.020204,0.018982,0.018928,0.019496,0.018896,0.019559
27,0.271238,0.260239,0.253705,0.26886,0.27342,0.22852,0.230441,0.233344,0.240568,0.240135,0.852684,0.861263,0.863483,0.864511,0.863819,0.02044,0.020592,0.020552,0.02041,0.020434,0.019299,0.019542,0.019701,0.019101,0.019498
28,0.250345,0.272354,0.264269,0.277729,0.254703,0.233247,0.251396,0.237004,0.246522,0.23989,0.856786,0.85319,0.858672,0.853377,0.856188,0.020308,0.020115,0.020333,0.020203,0.02026,0.01881,0.019122,0.019395,0.019137,0.019318
29,0.274292,0.281061,0.264206,0.268332,0.278168,0.221099,0.235316,0.229372,0.24061,0.240367,0.856651,0.856541,0.861594,0.856708,0.855215,0.020762,0.020467,0.020881,0.020338,0.020569,0.01951,0.019447,0.020265,0.018862,0.019832
30,0.283582,0.300693,0.268279,0.291526,0.253606,0.233456,0.243071,0.235652,0.234238,0.230891,0.852741,0.858634,0.856754,0.858761,0.857516,0.020604,0.020621,0.020667,0.020836,0.020686,0.019771,0.019746,0.020002,0.019944,0.019968
31,0.268269,0.241847,0.267001,0.269715,0.240531,0.238238,0.222238,0.241991,0.24134,0.241019,0.85945,0.868237,0.869483,0.873893,0.869134,0.02034,0.020893,0.020648,0.020607,0.020621,0.018737,0.019878,0.019815,0.019398,0.020129
32,0.292145,0.31107,0.291047,0.312697,0.303509,0.231338,0.260328,0.244546,0.264697,0.250688,0.855377,0.855521,0.853621,0.857369,0.85697,0.020505,0.020017,0.020402,0.019965,0.02031,0.019248,0.018743,0.019561,0.018631,0.019622
33,0.27355,0.294635,0.268149,0.291974,0.270874,0.230157,0.266979,0.240456,0.253847,0.236397,0.865019,0.87692,0.871522,0.87546,0.871651,0.020503,0.019889,0.020406,0.020188,0.020487,0.018889,0.018637,0.019572,0.019018,0.019287
34,0.284505,0.281595,0.290757,0.284289,0.28203,0.232306,0.242275,0.239403,0.241751,0.239608,0.858009,0.850968,0.858689,0.854436,0.857853,0.020391,0.020351,0.020379,0.020229,0.020527,0.019071,0.019004,0.01952,0.018888,0.01963
35,0.28623,0.267796,0.281375,0.266592,0.27246,0.229517,0.25638,0.253334,0.26758,0.249731,0.85506,0.866024,0.863098,0.859864,0.863059,0.020595,0.020147,0.020326,0.019985,0.02036,0.019115,0.019537,0.019487,0.019316,0.019575
36,0.284991,0.286732,0.282489,0.292014,0.278409,0.240747,0.242267,0.259095,0.246981,0.262077,0.872655,0.864727,0.86858,0.861583,0.865825,0.020566,0.020446,0.020353,0.02046,0.020366,0.0194,0.01923,0.019408,0.019591,0.019435
37,0.265023,0.268109,0.272726,0.280006,0.260462,0.238523,0.22565,0.221827,0.233065,0.216942,0.853801,0.855803,0.854943,0.857438,0.854181,0.020232,0.020534,0.020711,0.020532,0.020756,0.01908,0.019278,0.019773,0.019261,0.019834
38,0.254628,0.285577,0.294919,0.281031,0.281673,0.230742,0.245903,0.249325,0.245473,0.251076,0.863826,0.854359,0.857971,0.850487,0.859982,0.020446,0.020373,0.0204,0.020377,0.020417,0.019251,0.019276,0.019509,0.019517,0.019248
39,0.307129,0.276729,0.315712,0.289189,0.315362,0.24959,0.2591,0.265339,0.260799,0.27057,0.862516,0.855244,0.85337,0.856124,0.861078,0.01991,0.019962,0.019754,0.019901,0.019738,0.018069,0.018644,0.018905,0.019,0.019155
40,0.262113,0.283981,0.277648,0.274889,0.281123,0.233366,0.243369,0.239804,0.235064,0.251268,0.849667,0.850839,0.851355,0.85143,0.853343,0.020309,0.020334,0.020442,0.020335,0.020253,0.018848,0.019271,0.019747,0.01939,0.019389
