,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4294,0.4804,0.9149,0.0346,0.0868,0.4535,0.4858,0.914,0.0274,0.0556
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4536,0.4927,0.9184,0.034,0.0699,0.4571,0.4927,0.9172,0.0239,0.0398
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4785,0.4799,0.9062,0.0238,0.0373,0.4345,0.4795,0.9079,0.0336,0.0788
