,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4294,0.4804,0.9149,0.0346,0.0868,0.4535,0.4858,0.914,0.0274,0.0556
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4507,0.4808,0.9162,0.0376,0.0834,0.48,0.4921,0.9173,0.0258,0.0459
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4818,0.4894,0.9126,0.0225,0.0315,0.4661,0.4852,0.9161,0.0243,0.0423
