,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4033,0.4231,0.9089,0.0453,0.08,0.4174,0.4377,0.9111,0.05,0.1048
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3992,0.4292,0.9061,0.0466,0.0862,0.4157,0.4518,0.9094,0.0348,0.0849
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4069,0.4173,0.8943,0.0622,0.1177,0.4319,0.4455,0.9112,0.0329,0.0623
