_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
24,0.283479,0.097134,0.272259,0.094639,0.267943,0.23222,0.09263,0.22512,0.101918,0.229901,0.859528,0.763247,0.856531,0.770108,0.855549,0.020378,0.021979,0.020653,0.021877,0.020504,0.018872,0.020818,0.019654,0.020758,0.019718
25,0.280123,0.11253,0.284429,0.101257,0.263493,0.226533,0.098075,0.224533,0.102621,0.225457,0.854117,0.778457,0.853204,0.779715,0.85661,0.020647,0.021769,0.020665,0.021783,0.020653,0.019393,0.020401,0.019786,0.020554,0.019599
26,0.262454,0.134124,0.278072,0.121061,0.276023,0.231449,0.115631,0.238808,0.115262,0.244865,0.860715,0.775349,0.858691,0.779389,0.860076,0.02032,0.021631,0.020511,0.021632,0.020403,0.018961,0.020516,0.01946,0.020158,0.019484
27,0.279111,0.136294,0.26709,0.10747,0.286216,0.240687,0.118636,0.236377,0.113645,0.23961,0.86083,0.780038,0.85456,0.782669,0.858511,0.020137,0.021528,0.020346,0.021628,0.020303,0.018517,0.020116,0.019331,0.020177,0.019405
28,0.272892,0.135526,0.25503,0.109302,0.273305,0.232869,0.107932,0.228112,0.111272,0.226857,0.868837,0.78491,0.86559,0.790855,0.867518,0.020502,0.021681,0.020813,0.021676,0.020759,0.018766,0.020282,0.020013,0.020318,0.019687
29,0.281528,0.109263,0.257285,0.111181,0.266112,0.218714,0.107899,0.230687,0.114675,0.233239,0.842879,0.766231,0.846414,0.765176,0.843248,0.020824,0.021734,0.020858,0.021513,0.020842,0.019389,0.020353,0.020169,0.020077,0.020183
30,0.271638,0.106599,0.256861,0.097833,0.277503,0.221835,0.106312,0.212634,0.100167,0.219227,0.854555,0.765116,0.845015,0.759448,0.845415,0.020582,0.021748,0.020794,0.02188,0.020709,0.018792,0.020489,0.019804,0.020469,0.019911
31,0.283374,0.133252,0.279664,0.131317,0.289896,0.23451,0.11773,0.229174,0.115223,0.234767,0.854155,0.772639,0.848165,0.772479,0.845317,0.02021,0.021585,0.02033,0.021548,0.02035,0.018609,0.020143,0.019245,0.020001,0.019398
32,0.27207,0.089702,0.271737,0.107949,0.26816,0.229689,0.098291,0.231931,0.110754,0.228891,0.852149,0.772838,0.854706,0.777744,0.851479,0.020607,0.021741,0.020721,0.021682,0.020795,0.019122,0.020377,0.019778,0.020386,0.020107
33,0.27917,0.140334,0.295758,0.158223,0.299383,0.238744,0.114036,0.250366,0.112747,0.260818,0.860224,0.765316,0.8657,0.766186,0.865163,0.020158,0.021615,0.020042,0.021672,0.019947,0.019003,0.020088,0.018907,0.020371,0.018671
34,0.279834,0.111384,0.244721,0.116933,0.260238,0.234152,0.103711,0.230697,0.104171,0.236394,0.851409,0.781871,0.853552,0.777088,0.854921,0.02021,0.021737,0.020546,0.021716,0.020544,0.01886,0.02037,0.019672,0.020222,0.019547
35,0.269522,0.120124,0.279202,0.111848,0.283466,0.220795,0.116929,0.240261,0.114689,0.236957,0.856803,0.780034,0.853751,0.777873,0.855226,0.020592,0.021585,0.020239,0.021628,0.02032,0.019265,0.020323,0.019373,0.0203,0.019468
36,0.291936,0.11803,0.26935,0.122922,0.293831,0.232326,0.110101,0.221377,0.110914,0.230389,0.857881,0.775272,0.848845,0.775844,0.85287,0.020352,0.021804,0.020882,0.021816,0.020694,0.018834,0.020278,0.019896,0.020438,0.019779
37,0.280775,0.114028,0.266395,0.100026,0.271486,0.238987,0.105695,0.237361,0.10212,0.232357,0.860512,0.773848,0.855964,0.780405,0.853145,0.020358,0.021703,0.020484,0.021797,0.020715,0.019322,0.020516,0.019961,0.020564,0.019585
38,0.266899,0.118357,0.268952,0.131225,0.277193,0.224202,0.115126,0.232967,0.123474,0.231378,0.862232,0.781392,0.861804,0.786495,0.864588,0.02056,0.021631,0.020688,0.021515,0.020688,0.019192,0.020215,0.020068,0.020068,0.019659
39,0.260194,0.131175,0.292202,0.105854,0.277553,0.232725,0.10759,0.231316,0.11006,0.239276,0.85735,0.7715,0.85969,0.77567,0.858226,0.020301,0.021713,0.020608,0.021694,0.020594,0.018988,0.020297,0.019609,0.020484,0.019562
40,0.313162,0.102956,0.297621,0.12141,0.299434,0.250464,0.10944,0.255848,0.119786,0.25141,0.866964,0.7836,0.857829,0.783755,0.862157,0.020104,0.021695,0.019938,0.021595,0.0201,0.018933,0.020309,0.019044,0.02018,0.019174
41,0.277866,0.126611,0.283482,0.150866,0.293982,0.251842,0.117266,0.241978,0.128554,0.249532,0.85904,0.782769,0.853827,0.785205,0.85629,0.019997,0.021614,0.02043,0.02146,0.02024,0.018624,0.019935,0.019433,0.019998,0.019246
42,0.274783,0.132178,0.286817,0.12651,0.290273,0.231138,0.114021,0.245637,0.115183,0.244491,0.86074,0.779141,0.86074,0.777349,0.860428,0.020472,0.0216,0.020317,0.021645,0.020339,0.019322,0.020122,0.019724,0.020297,0.019488
43,0.284085,0.110719,0.285976,0.118628,0.279614,0.221011,0.097938,0.225148,0.104722,0.225333,0.855857,0.77568,0.860822,0.77355,0.858615,0.020709,0.021892,0.020731,0.021801,0.020725,0.019168,0.020558,0.0195,0.0203,0.019877
44,0.296748,0.120414,0.278636,0.097256,0.26598,0.222792,0.101071,0.215431,0.104248,0.222554,0.860447,0.779002,0.851642,0.779116,0.84986,0.020553,0.021764,0.021057,0.021673,0.020799,0.019178,0.020235,0.019816,0.020247,0.019569
45,0.28985,0.118485,0.286234,0.110851,0.273096,0.227874,0.103016,0.234518,0.103811,0.229602,0.856458,0.786037,0.857077,0.789498,0.857972,0.020684,0.021733,0.020596,0.021715,0.020703,0.019206,0.02021,0.019705,0.020038,0.020015
46,0.270544,0.131864,0.291026,0.116224,0.263917,0.220599,0.106865,0.236347,0.101895,0.228786,0.862327,0.78361,0.865304,0.788764,0.866476,0.02083,0.02174,0.020627,0.021803,0.020818,0.019692,0.020282,0.019691,0.020226,0.019586
47,0.267346,0.083267,0.257915,0.118269,0.255866,0.214738,0.096725,0.239748,0.101468,0.240988,0.862469,0.777858,0.857472,0.782011,0.86131,0.02078,0.021838,0.020256,0.021793,0.020375,0.019343,0.020573,0.019253,0.020331,0.019553
48,0.280711,0.073838,0.264055,0.081764,0.28274,0.231721,0.097575,0.229151,0.098204,0.237366,0.86485,0.780858,0.861369,0.786519,0.863979,0.020498,0.021997,0.02074,0.021951,0.020631,0.018758,0.020829,0.019507,0.020784,0.019538
49,0.282694,0.117806,0.253702,0.10105,0.2496,0.214782,0.09967,0.225751,0.104429,0.218909,0.860698,0.78111,0.859511,0.785987,0.859864,0.020899,0.021833,0.020758,0.02183,0.020763,0.019568,0.020536,0.019615,0.020492,0.019853
50,0.254365,0.119173,0.243126,0.089604,0.242213,0.222182,0.117484,0.239176,0.111325,0.234723,0.863086,0.787962,0.866202,0.785154,0.863778,0.020762,0.021769,0.02034,0.021714,0.020491,0.01962,0.02029,0.019469,0.020528,0.019524
51,0.272023,0.078277,0.283903,0.095791,0.269654,0.227708,0.09317,0.232885,0.096869,0.228031,0.857645,0.783145,0.85888,0.787643,0.85835,0.020645,0.021863,0.02053,0.021807,0.020675,0.019159,0.020628,0.019489,0.02031,0.019542
52,0.275473,0.127723,0.267278,0.131771,0.275664,0.225978,0.122284,0.227337,0.116029,0.228014,0.850203,0.777626,0.85308,0.777122,0.854849,0.020649,0.021473,0.020686,0.021556,0.02067,0.019394,0.019747,0.019718,0.020087,0.019787
53,0.319644,0.133823,0.276921,0.102002,0.260937,0.243572,0.109941,0.238811,0.105904,0.242098,0.865136,0.789246,0.861459,0.786562,0.861062,0.020372,0.021687,0.020492,0.021753,0.02047,0.018809,0.020302,0.019361,0.020359,0.019505
54,0.298362,0.105143,0.302458,0.100938,0.296178,0.23846,0.112617,0.255807,0.107692,0.249345,0.858305,0.787319,0.858572,0.795685,0.857824,0.02014,0.021693,0.020007,0.021885,0.020131,0.019184,0.020437,0.018995,0.02057,0.01937
55,0.269713,0.101409,0.27175,0.072516,0.280731,0.222416,0.101705,0.23549,0.102718,0.232585,0.866478,0.790436,0.866789,0.790949,0.865688,0.020644,0.0218,0.020531,0.021808,0.020512,0.019175,0.020158,0.019376,0.020312,0.019517
56,0.290226,0.115714,0.272258,0.10637,0.278049,0.245498,0.111693,0.242563,0.11381,0.244959,0.856015,0.772945,0.851312,0.77604,0.852091,0.020227,0.021566,0.020266,0.021617,0.020291,0.018822,0.020023,0.019188,0.020086,0.019575
57,0.2659,0.092087,0.265623,0.083703,0.242641,0.223071,0.096571,0.222186,0.088463,0.219465,0.853894,0.790271,0.85196,0.78709,0.855514,0.020663,0.021869,0.0208,0.021983,0.02101,0.019436,0.020379,0.020011,0.020783,0.02038
58,0.262196,0.11519,0.266584,0.135785,0.256294,0.226407,0.105582,0.220128,0.113375,0.222306,0.862245,0.773564,0.860081,0.777744,0.856935,0.020562,0.021789,0.020833,0.021767,0.020789,0.019033,0.020491,0.019782,0.020684,0.019843
59,0.281834,0.124183,0.275417,0.107512,0.281586,0.237998,0.113004,0.245284,0.104452,0.243924,0.86317,0.789912,0.871581,0.78293,0.871221,0.020525,0.02181,0.020644,0.022005,0.02061,0.019351,0.020509,0.019713,0.020941,0.019847
60,0.282972,0.124425,0.260733,0.116229,0.253627,0.227743,0.113862,0.232543,0.105575,0.230754,0.862026,0.792406,0.868325,0.793807,0.865946,0.020559,0.021615,0.020587,0.021765,0.020588,0.018988,0.020473,0.019791,0.020512,0.019683
61,0.280143,0.125949,0.274071,0.113929,0.257863,0.228031,0.111261,0.238432,0.113903,0.234494,0.851417,0.775382,0.855759,0.783739,0.851894,0.020583,0.021663,0.020569,0.021728,0.020687,0.019092,0.020524,0.019744,0.020384,0.019959
62,0.302944,0.131216,0.268553,0.11887,0.278064,0.256598,0.115954,0.246266,0.112897,0.247319,0.861306,0.779703,0.860829,0.780441,0.858851,0.019972,0.021712,0.020412,0.021749,0.020327,0.018555,0.020709,0.019576,0.02054,0.019761
63,0.307516,0.139893,0.285086,0.112792,0.300293,0.236262,0.116749,0.252248,0.113184,0.246009,0.858751,0.778513,0.850259,0.779794,0.848299,0.020341,0.02164,0.02007,0.021565,0.02017,0.018991,0.02007,0.019239,0.01999,0.019228
64,0.286205,0.116199,0.270379,0.129524,0.294853,0.244931,0.102039,0.227074,0.115744,0.230298,0.856013,0.766725,0.849818,0.771892,0.850103,0.020241,0.021702,0.020702,0.021598,0.020584,0.018585,0.020447,0.019914,0.02017,0.019591
65,0.260636,0.110346,0.230585,0.103206,0.255744,0.218958,0.09975,0.222951,0.093731,0.231167,0.855884,0.782394,0.853509,0.779171,0.855951,0.020634,0.021831,0.020891,0.021886,0.020706,0.019502,0.020336,0.020166,0.020513,0.019651
66,0.273615,0.085236,0.244035,0.108996,0.254239,0.244631,0.105637,0.233557,0.107018,0.232503,0.868657,0.788012,0.866688,0.793809,0.867376,0.02038,0.02179,0.02075,0.021726,0.020729,0.018722,0.020517,0.019893,0.020181,0.019859
67,0.280889,0.095744,0.270299,0.084463,0.284408,0.242174,0.090494,0.234909,0.091204,0.239407,0.864957,0.761758,0.856983,0.765035,0.860655,0.020302,0.021915,0.020461,0.021922,0.020379,0.018997,0.020712,0.019549,0.02078,0.019637
68,0.312571,0.126099,0.256881,0.147641,0.280707,0.231293,0.120538,0.25485,0.119568,0.254282,0.868543,0.796124,0.870382,0.796961,0.866745,0.0205,0.021512,0.020234,0.021523,0.020205,0.018996,0.020031,0.019507,0.020018,0.019045
69,0.303395,0.104743,0.264161,0.119907,0.264899,0.245155,0.106059,0.243267,0.102717,0.236735,0.871165,0.78592,0.867893,0.790912,0.865031,0.020102,0.021797,0.02039,0.021731,0.020594,0.018717,0.020324,0.019382,0.020116,0.019723
70,0.282072,0.121429,0.283885,0.128408,0.278398,0.219433,0.115827,0.231545,0.114549,0.22958,0.862326,0.786825,0.860382,0.784995,0.859989,0.020838,0.021583,0.020808,0.02164,0.020804,0.019325,0.020278,0.019837,0.02043,0.019844
71,0.290608,0.129497,0.294441,0.1332,0.254339,0.244335,0.118623,0.247172,0.123158,0.2444,0.858919,0.788017,0.8594,0.781282,0.862702,0.020309,0.021695,0.020474,0.021614,0.020651,0.018866,0.020473,0.019516,0.020206,0.019985
72,0.262508,0.13304,0.252411,0.11403,0.260078,0.241855,0.111333,0.235831,0.110935,0.230625,0.85647,0.78183,0.853574,0.781626,0.856112,0.020245,0.02169,0.020467,0.021624,0.020681,0.018812,0.020403,0.019454,0.020296,0.019784
73,0.263052,0.116486,0.295969,0.116047,0.278253,0.230504,0.110301,0.254364,0.103163,0.240651,0.870025,0.781479,0.869291,0.778146,0.864823,0.020455,0.021609,0.020308,0.021714,0.020299,0.018768,0.019992,0.019267,0.020311,0.019311
74,0.276158,0.106701,0.280954,0.101806,0.282884,0.238047,0.096666,0.225219,0.101698,0.234388,0.855618,0.774065,0.851492,0.774662,0.853534,0.020286,0.02182,0.020604,0.021785,0.020492,0.018936,0.020566,0.019716,0.020527,0.019736
75,0.256233,0.084993,0.278372,0.094585,0.266567,0.223332,0.089134,0.23827,0.098307,0.238901,0.857284,0.77409,0.856854,0.772813,0.858947,0.020484,0.021889,0.020266,0.021791,0.02021,0.01895,0.020746,0.019117,0.020379,0.019066
76,0.279367,0.143298,0.285603,0.139561,0.306047,0.245485,0.132567,0.246172,0.129037,0.251846,0.856212,0.785651,0.859129,0.791078,0.854484,0.020022,0.021494,0.020289,0.021527,0.020205,0.018138,0.020234,0.019341,0.020417,0.019181
77,0.273911,0.134504,0.26202,0.153085,0.294967,0.229615,0.12162,0.237312,0.125901,0.247313,0.856221,0.791251,0.852828,0.79437,0.858891,0.02053,0.021555,0.02062,0.021553,0.020562,0.019083,0.020232,0.020008,0.020222,0.019643
78,0.27462,0.146295,0.249767,0.110254,0.26564,0.216303,0.12378,0.217524,0.110122,0.214056,0.85394,0.776091,0.848623,0.775214,0.851569,0.020625,0.021596,0.020742,0.021715,0.0207,0.019262,0.020373,0.01973,0.020392,0.019586
79,0.293542,0.11022,0.251418,0.112262,0.276453,0.230211,0.094618,0.227457,0.092571,0.227396,0.851551,0.749447,0.848919,0.756501,0.851161,0.020353,0.021768,0.020511,0.021884,0.020509,0.019024,0.020313,0.019522,0.020746,0.01923
80,0.295437,0.10528,0.256947,0.104676,0.272114,0.223765,0.103416,0.222954,0.107788,0.223308,0.863704,0.774369,0.853853,0.779723,0.853286,0.02072,0.021776,0.020626,0.021743,0.02065,0.019378,0.02045,0.019572,0.020455,0.019749
81,0.293714,0.107542,0.277847,0.13005,0.283182,0.224626,0.10785,0.237269,0.111631,0.23787,0.869176,0.786495,0.867182,0.793711,0.867782,0.020648,0.021661,0.020269,0.021745,0.020384,0.019127,0.020079,0.019359,0.020339,0.019243
82,0.276959,0.091136,0.282715,0.103454,0.260264,0.213461,0.103235,0.233496,0.107015,0.23332,0.860621,0.77563,0.858246,0.774688,0.857928,0.020793,0.021696,0.020465,0.021578,0.020424,0.019701,0.020158,0.019639,0.020336,0.019806
83,0.265148,0.121586,0.255689,0.135245,0.249418,0.238659,0.112662,0.23248,0.117002,0.232124,0.865896,0.783586,0.857623,0.779493,0.85952,0.020373,0.02164,0.020497,0.021619,0.0206,0.018905,0.020136,0.019072,0.020246,0.019566
84,0.247508,0.116818,0.243005,0.112374,0.219564,0.217874,0.102159,0.208306,0.100532,0.208174,0.8646,0.783625,0.85898,0.785988,0.864904,0.020755,0.021802,0.021026,0.021843,0.021091,0.019243,0.020521,0.020124,0.02041,0.020409
85,0.284355,0.115591,0.28631,0.116399,0.270535,0.214811,0.101856,0.228404,0.107469,0.228157,0.857107,0.762538,0.848811,0.765428,0.850114,0.020913,0.021668,0.020561,0.021753,0.020462,0.019675,0.020281,0.019387,0.020558,0.019449
86,0.283815,0.111403,0.278501,0.118492,0.270137,0.226648,0.096788,0.224783,0.109746,0.225433,0.859669,0.772678,0.852427,0.775936,0.851789,0.020634,0.021978,0.02086,0.021825,0.020803,0.019033,0.020497,0.019704,0.02055,0.01996
87,0.278761,0.111403,0.266669,0.10623,0.272856,0.247332,0.108362,0.244475,0.117536,0.249173,0.866552,0.788382,0.865989,0.784563,0.864317,0.020405,0.021898,0.020452,0.021728,0.020227,0.019054,0.020765,0.019811,0.020502,0.019312
88,0.252571,0.095186,0.29357,0.095865,0.271918,0.227941,0.089716,0.241669,0.091057,0.231532,0.865082,0.77748,0.859591,0.770678,0.856361,0.0205,0.02193,0.020284,0.021886,0.020616,0.019137,0.02076,0.019111,0.020656,0.019587
89,0.260266,0.108484,0.253335,0.130848,0.260637,0.222419,0.109662,0.227895,0.119427,0.217544,0.858803,0.779366,0.854437,0.77875,0.849723,0.020901,0.021715,0.020714,0.021632,0.020786,0.019824,0.020337,0.01976,0.020396,0.020124
90,0.303024,0.125872,0.281421,0.115208,0.282222,0.249447,0.103081,0.238679,0.098897,0.248508,0.85427,0.765304,0.85571,0.756114,0.857429,0.02006,0.021696,0.02035,0.021729,0.020307,0.018712,0.020402,0.019171,0.020224,0.01959
91,0.297211,0.137162,0.266953,0.137989,0.271842,0.244168,0.115684,0.234016,0.116406,0.244961,0.869774,0.790626,0.861934,0.783413,0.86525,0.020389,0.021816,0.020667,0.021712,0.020344,0.01917,0.020316,0.020037,0.020265,0.019766
92,0.301006,0.132299,0.271409,0.138151,0.28223,0.241806,0.112543,0.233594,0.117805,0.242218,0.866284,0.789293,0.858577,0.786523,0.859853,0.020337,0.02165,0.020441,0.021718,0.020393,0.018996,0.020213,0.019526,0.020405,0.019489
93,0.2615,0.14864,0.250151,0.125801,0.251665,0.23795,0.111552,0.228135,0.108341,0.234829,0.85382,0.77508,0.844803,0.776743,0.848259,0.020345,0.021622,0.020535,0.021651,0.020528,0.018689,0.020064,0.019795,0.020041,0.019781
94,0.288961,0.106988,0.258439,0.123144,0.278464,0.219225,0.108886,0.224998,0.109563,0.227677,0.860546,0.762239,0.85863,0.766343,0.856456,0.020792,0.021586,0.020701,0.021617,0.020599,0.019236,0.020142,0.019815,0.019969,0.019747
95,0.282394,0.133287,0.271562,0.13656,0.285841,0.235089,0.112438,0.230535,0.114838,0.234568,0.857332,0.779342,0.859687,0.777044,0.860479,0.020414,0.02164,0.020742,0.021635,0.020794,0.018818,0.020344,0.019747,0.020387,0.020007
96,0.247179,0.074386,0.251464,0.087941,0.259549,0.22315,0.089601,0.22528,0.093339,0.226033,0.8567,0.770829,0.857351,0.772607,0.855565,0.020647,0.021977,0.020627,0.021875,0.020589,0.019161,0.020744,0.019613,0.020592,0.01974
97,0.293518,0.135409,0.271371,0.129069,0.236441,0.249824,0.119338,0.24683,0.118624,0.241784,0.860989,0.785112,0.858398,0.776965,0.859835,0.020298,0.021564,0.020353,0.021498,0.020508,0.018869,0.020216,0.01964,0.019975,0.019901
98,0.272706,0.119415,0.286878,0.128325,0.276994,0.224443,0.106184,0.243251,0.112814,0.238089,0.863606,0.770542,0.860299,0.768643,0.86055,0.020427,0.021729,0.020079,0.021651,0.020338,0.018669,0.020438,0.019255,0.020364,0.01931
99,0.265711,0.144155,0.266218,0.125709,0.272255,0.243706,0.123292,0.2311,0.122933,0.233846,0.8552,0.777579,0.859568,0.779115,0.856175,0.020155,0.021492,0.020558,0.021476,0.020424,0.018705,0.020104,0.019546,0.020123,0.01962
100,0.282793,0.096369,0.298047,0.10071,0.276081,0.229137,0.102547,0.229166,0.105364,0.230434,0.862903,0.780568,0.857572,0.784673,0.857759,0.020481,0.021775,0.020735,0.021796,0.020627,0.019016,0.020491,0.020012,0.020428,0.019914
