DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
GES,22,XGBoost,mw,OF,0.46296648742473734,0.5395369837011832,0.9308050187738564,0.014383704510173706,0.009969510910379804
GES,30,RandomForest,m,OF,0.3412534098176828,0.47715347037903255,0.9249002980643048,0.015461755934851686,0.005140087228314221
GES,25,LightGBM,mw,OF,0.5075447937766792,0.508869615284679,0.9213932219447148,0.016413773155150718,0.013324391912871608
GES,35,Logit,m+mw,OF,0.12018332298937826,0.1389092460704441,0.8531602964873063,0.16801469848437817,0.3281811435459393
