DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
GES,1,Logit,original,O,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723
GES,1,Logit,m,F,0.0478086882352668,0.023774158530360343,0.5197540501807103,0.24997806847892465,0.47782926082057636
GES,1,Logit,m,OF,0.11667621954353961,0.1299623758740261,0.848999747515005,0.17196225406945298,0.33448142479438603
GES,1,Logit,mw,F,0.04955975074782807,0.02476029077966142,0.5304465887741923,0.24996970611795727,0.47782060133731596
GES,1,Logit,mw,OF,0.11651682478609755,0.1299679580040328,0.8490152467909258,0.17204822427807825,0.33460322874749976
GES,1,Logit,m+mw,F,0.04948407809846266,0.02476029077966142,0.5304465887741923,0.24994740840644267,0.47779485988376963
GES,1,Logit,m+mw,OF,0.11657157524924962,0.13075032294954875,0.8491419583707266,0.17199509331374352,0.3344721460372758
GES,1,RandomForest,original,O,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729
GES,1,RandomForest,m,F,0.02670713768664426,0.02982963286932035,0.5125162338261405,0.03192153288989065,0.03800675196489879
GES,1,RandomForest,m,OF,0.3206869009918198,0.47936832349278397,0.9203269933973219,0.015464703416463147,0.005342275314093209
GES,1,RandomForest,mw,F,0.026668749982357066,0.028971841105757557,0.5113424974915467,0.03194682808198337,0.03808875800763646
GES,1,RandomForest,mw,OF,0.31755382154126705,0.4807349189346241,0.9208383599062163,0.015478848248696673,0.005802119246001229
GES,1,RandomForest,m+mw,F,0.02523851026768558,0.02985300690460675,0.5114099546582087,0.03165663759483445,0.03783026959642206
GES,1,RandomForest,m+mw,OF,0.329917265619129,0.4748778401293898,0.915434911558082,0.015518552297637,0.005527555684565008
GES,1,XGBoost,original,O,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181
GES,1,XGBoost,m,F,0.0,0.03744613856432967,0.5988075699462567,0.02174716733846859,0.0010363075918590641
GES,1,XGBoost,m,OF,0.46777952460228905,0.5190966229866228,0.9263070924980493,0.014594006213578425,0.008883944269503247
GES,1,XGBoost,mw,F,0.0,0.036520121870327306,0.6008415745829664,0.021752928667160484,0.0010191764073362755
GES,1,XGBoost,mw,OF,0.48005134415478573,0.5230531186514924,0.9276776196443148,0.01446378395081141,0.008926954271626658
GES,1,XGBoost,m+mw,F,0.0,0.03672009640972752,0.5989078597653492,0.021751233707314327,0.0009966726920328864
GES,1,XGBoost,m+mw,OF,0.4687055152630939,0.5125001691137487,0.9283004774700135,0.014628272326724581,0.009008444294694645
GES,1,LightGBM,original,O,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794
