,,,,AUPRC,AUPRC,AUPRC,AUROC,AUROC,AUROC,Brier,Brier,Brier,ECE,ECE,ECE,f1,f1,f1
Set,,,,F,O,OF,F,O,OF,F,O,OF,F,O,OF,F,O,OF
DAG,k,Model,Feature,,,,,,,,,,,,,,,
GES,5,Logit,m+mw,0.04734315268415501,,0.12888481849597905,0.7233425365034536,,0.8474921210457239,0.22144251377545626,,0.170445053968099,0.41957852650790406,,0.3317734775807851,0.07751529692413892,,0.11814598450291922
GES,5,Logit,mw,0.04845406072766,,0.1278439489803635,0.7261313020269887,,0.8476361591876358,0.22246719323064484,,0.17136010989634368,0.4286875901528001,,0.33334909117737455,0.07799840053957288,,0.11804852368910793
GES,5,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,5,RandomForest,m,0.2823961878383174,,0.47710452689156224,0.8733657483574909,,0.9194806857218886,0.0185720894050752,,0.015489811171074976,0.007438252954608262,,0.004785979803872284,0.15962950856683128,,0.3416057554115808
GES,5,RandomForest,m+mw,0.277625762213584,,0.4619822161413335,0.8750577100293219,,0.9197163828278905,0.018696850926398334,,0.015642325808906468,0.007741788152305351,,0.005230576912976767,0.1702562100326183,,0.3279135123034028
GES,5,RandomForest,mw,0.28063507013901917,,0.47593385891601303,0.8767065610278069,,0.9161428357842858,0.018603122796001667,,0.01551459370560741,0.00676308721705976,,0.0050230518686779635,0.1626411726219075,,0.3317405106970324
GES,5,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,5,XGBoost,m,0.2897888544595757,,0.5229048657441091,0.8917823594060856,,0.9268032526033853,0.01871387203344981,,0.014643614846680484,0.009132776869316104,,0.00921039064484685,0.19597474042027713,,0.4638551816242543
GES,5,XGBoost,m+mw,0.2956641383147759,,0.521584483235428,0.8910292863514065,,0.9259554772323272,0.018621573908606498,,0.014604306866638706,0.00985683281049167,,0.00943207826646742,0.21532050679803696,,0.47349771408344205
GES,5,XGBoost,mw,0.28964431789774203,,0.525807511509178,0.8919377270620469,,0.9262889394647251,0.01865023341364582,,0.014573282045620903,0.008919588366242764,,0.009342008068667782,0.21540889451284043,,0.4626842677166042
GES,5,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,6,LightGBM,m,0.2805728768912214,,0.4890176345653295,0.8809799578644567,,0.9188065199208392,0.02369642678603346,,0.01704994207447437,0.02000651560505735,,0.014319516040614728,0.33200083466288005,,0.5068508559440208
GES,6,LightGBM,m+mw,0.2783685313966537,,0.4899939863378875,0.8802036889748182,,0.9175685892059862,0.023512917199584787,,0.01696964803573331,0.019204545739889254,,0.014667066267295446,0.31246332672147303,,0.5004814343261949
GES,6,LightGBM,mw,0.2708020612639932,,0.49452591290092257,0.8782926539954248,,0.9164484499394747,0.023822337120220916,,0.01685357370395104,0.019742472921487463,,0.014018132126626295,0.3290948131011969,,0.5009703947533224
GES,6,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,6,Logit,m,0.047641340354827026,,0.13094966497479366,0.7244145153547813,,0.8480450723688279,0.22158204818959196,,0.17065005217413576,0.42230037885422156,,0.33230049838204345,0.07721442537390372,,0.11946688036959811
GES,6,Logit,m+mw,0.04739524869844407,,0.12958691203887227,0.723434787984732,,0.8476922643107987,0.2214162951374367,,0.17048792886619532,0.4195554179708938,,0.3317992629699686,0.07752440205529143,,0.11877346184434553
GES,6,Logit,mw,0.04845455567207756,,0.12815119802201685,0.7261328038994429,,0.8472338824966895,0.22246560350817549,,0.17135255442164832,0.42868687314220955,,0.3332809402869215,0.07799840053957288,,0.1179782215017331
GES,6,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,6,RandomForest,m,0.30719935906563256,,0.4737553137676991,0.8869567479666758,,0.9166781075594385,0.01814361689471797,,0.015488116164272283,0.006454029831195611,,0.00528457784209493,0.14854267661095205,,0.331713894353852
GES,6,RandomForest,m+mw,0.30437605862858164,,0.4683240937909452,0.8823986699262891,,0.9159493891648699,0.01824279597118483,,0.015573594009282429,0.007118054904255813,,0.0052500908172363305,0.15504302355241717,,0.3316133777364742
GES,6,RandomForest,mw,0.3012640175409723,,0.47424892340943325,0.890198423321386,,0.9168011170862274,0.018178230209071906,,0.015527105608956926,0.006476641916234307,,0.0052624303942937385,0.14789074965005192,,0.3285598242727623
GES,6,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,6,XGBoost,m,0.3109188690148818,,0.522176292069546,0.9015031841943731,,0.9282474750997267,0.01833485078649864,,0.014500233587399264,0.009342692018151568,,0.008900183204383742,0.21676843062446016,,0.4629757504967632
GES,6,XGBoost,m+mw,0.3098841711472362,,0.5174146118147493,0.9011965354038235,,0.9279381535343607,0.018432189529733335,,0.014727166278794016,0.009934784760112957,,0.00944211604318416,0.22632117299833504,,0.46388528507462806
GES,6,XGBoost,mw,0.3090149769249357,,0.5306531885744562,0.9016128583312643,,0.9292459597620212,0.018337073709660028,,0.014411153766341028,0.009622105925312778,,0.009585361215619714,0.21118003973227703,,0.4838616333244546
GES,6,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,7,LightGBM,m,0.39241514463026517,,0.4885750116500517,0.8972369204813292,,0.915999247455575,0.019802946509039774,,0.016743118738322384,0.015545134577933167,,0.013979000339461974,0.41925437667267973,,0.5088858199313182
GES,7,LightGBM,m+mw,0.3934832650057982,,0.4875242523848404,0.8989476617966321,,0.9153087364496629,0.02015050325149908,,0.01707619013467886,0.01693284851149778,,0.015083041889007876,0.4100729494204896,,0.5037384252612515
GES,7,LightGBM,mw,0.38916713618338095,,0.49393412922522373,0.8976717367007347,,0.915650303937268,0.019964403980730114,,0.016893743089117324,0.01639804170322722,,0.014178635753817467,0.41138202213461844,,0.502107037334495
GES,7,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,7,Logit,m,0.04770930613260156,,0.1302533416018202,0.7249217664702208,,0.8483358506140608,0.22149561178803942,,0.17059330033256162,0.422141699963292,,0.332283727648566,0.07725221721249427,,0.11857272865910921
GES,7,Logit,m+mw,0.047463018045952446,,0.12979534394359638,0.7237251407598921,,0.8480072524992865,0.22137324944275258,,0.17034347860286728,0.4195560794650131,,0.33160662288175446,0.07750739239981697,,0.11852670651241734
