,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4638,0.494,0.9176,0.0248,0.0453,0.4627,0.4892,0.9136,0.0247,0.0429
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.463,0.4989,0.9148,0.0242,0.0406,0.4574,0.4831,0.9131,0.032,0.0646
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4433,0.4704,0.9066,0.0403,0.0794,0.4667,0.5004,0.9153,0.0246,0.0402
