,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3927,0.418,0.9062,0.0317,0.0613,0.4245,0.4674,0.913,0.0253,0.0403
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3789,0.4124,0.904,0.044,0.0932,0.4245,0.4561,0.9107,0.0369,0.0655
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3909,0.4107,0.9002,0.0311,0.0555,0.4544,0.4726,0.9122,0.0228,0.0291
