,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4638,0.494,0.9176,0.0248,0.0453,0.4627,0.4892,0.9136,0.0247,0.0429
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4495,0.4829,0.9122,0.0386,0.0758,0.4569,0.4942,0.9137,0.0267,0.0592
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4126,0.4515,0.9099,0.0547,0.1311,0.4674,0.4983,0.9137,0.0251,0.0396
