,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4147,0.4044,0.9037,0.0168,0.0126,,,,,,,,,,
m,,,,,,0.4013,0.3523,0.89,0.0178,0.0131,0.4718,0.4338,0.9122,0.0166,0.0136
mw,,,,,,0.3844,0.3469,0.8869,0.0178,0.0126,0.4668,0.4412,0.9124,0.0165,0.0134
