dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
NOTEARS,3,Logit,OF,m,0.11604708195983778,0.13384267384819595,0.8503654558541545,0.1719033213914895,0.33395276837628335,0.687
NOTEARS,3,Logit,F,mw,0.07658672993151158,0.04562278958259659,0.708380456722875,0.223928746564292,0.4211706563069112,0.191
NOTEARS,3,Logit,OF,mw,0.11568910649706665,0.1352184641039344,0.8505895256673774,0.17194667588636245,0.3339446007705953,0.636
NOTEARS,3,Logit,F,m+mw,0.07610500437265857,0.04539518516723374,0.7082737176207881,0.2240050338612686,0.41872760890049293,0.291
NOTEARS,3,Logit,OF,m+mw,0.11532406881600792,0.13714475846659654,0.8509713435212658,0.17197556123864927,0.3335888348318582,0.793
NOTEARS,3,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,25.53
NOTEARS,3,RandomForest,F,m,0.005,0.07110714404728002,0.7189872833407087,0.02188231142117408,0.01024210554369669,19.876
NOTEARS,3,RandomForest,OF,m,0.34384155193020316,0.4810253616585186,0.9230901129532045,0.015456960475080439,0.005272956362083476,32.527
NOTEARS,3,RandomForest,F,mw,0.005,0.07228137114334757,0.716988952488823,0.021861545486227048,0.010022676485557403,19.957
NOTEARS,3,RandomForest,OF,mw,0.3336021396562261,0.47489069655422744,0.9171319529655875,0.01549625412311816,0.004908591435606359,31.902
NOTEARS,3,RandomForest,F,m+mw,0.009878048780487805,0.066559533573608,0.7039076890908769,0.022268638179910042,0.012805073541640876,28.049
NOTEARS,3,RandomForest,OF,m+mw,0.32202784549471397,0.4744916158675537,0.9169141765428896,0.01553957947555469,0.005510148396302035,21.873
NOTEARS,3,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,6.05
NOTEARS,3,XGBoost,F,m,0.0047619047619047615,0.08636141392794253,0.7464236537063433,0.021383543767265607,0.007025652383473984,6.128
NOTEARS,1,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.645
NOTEARS,1,Logit,F,m,0.05903544488443461,0.03763764804115846,0.6499642049713021,0.2367593178493364,0.447004375106863,0.236
NOTEARS,1,Logit,OF,m,0.11620386122623423,0.13591960711801146,0.8508782504093588,0.17186077528299865,0.33419389927120857,0.795
NOTEARS,1,Logit,F,mw,0.05900891921290567,0.03763764804115846,0.6499642049713021,0.23670761680716415,0.4475007561996146,0.226
NOTEARS,1,Logit,OF,mw,0.1164271104392576,0.13438106055529692,0.850765932264896,0.1717372721467621,0.3339915257116063,0.829
