metric,mean,ci_low,ci_high
O.f1,0.4203797458153327,0.4180866288096397,0.42267286282102573
F_m.f1,0.31531961683864435,0.3124553597400716,0.3181838739372171
OF_m.f1,0.4213383204423443,0.4189465299385618,0.42373011094612684
F_mw.f1,0.3155523303056228,0.312675752802618,0.3184289078086276
OF_mw.f1,0.4188654570112387,0.41616735834372476,0.4215635556787526
O.AUPRC,0.40476635540999434,0.403072734553867,0.4064599762661217
F_m.AUPRC,0.24310452125532309,0.24031615216882968,0.2458928903418165
OF_m.AUPRC,0.4072290495359435,0.4051897608973231,0.40926833817456393
F_mw.AUPRC,0.24267764585556098,0.23978067958508628,0.24557461212603568
OF_mw.AUPRC,0.40677017031007745,0.4046812794822627,0.4088590611378922
O.AUROC,0.8969660710476691,0.8962847304263947,0.8976474116689436
F_m.AUROC,0.8695926560971948,0.8686092354173349,0.8705760767770547
OF_m.AUROC,0.9010355847097327,0.9003471223661252,0.9017240470533401
F_mw.AUROC,0.8697504194229755,0.8687609002177713,0.8707399386281797
OF_mw.AUROC,0.9008893100137864,0.9001791179168874,0.9015995021106853
O.Brier,0.01688383481508738,0.016846980644039576,0.016920688986135184
F_m.Brier,0.0196284742906284,0.01956898210146041,0.019687966479796388
OF_m.Brier,0.01690518408937479,0.016863843109772916,0.01694652506897666
F_mw.Brier,0.019627299272740636,0.019565377963043307,0.019689220582437966
OF_mw.Brier,0.016901806432915552,0.016860136245779648,0.016943476620051457
O.ECE,0.01322751610446824,0.013164238783810863,0.013290793425125616
F_m.ECE,0.013367093656533251,0.01326946471264587,0.013464722600420633
OF_m.ECE,0.013542289517293405,0.013467990278148531,0.013616588756438279
F_mw.ECE,0.013378747604585038,0.013284833279213334,0.013472661929956742
OF_mw.ECE,0.013515384190338204,0.013447876397605703,0.013582891983070704
