,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4059,0.4189,0.9052,0.0421,0.0813,0.418,0.4558,0.9025,0.0377,0.0882
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4047,0.4336,0.9076,0.0343,0.0703,0.412,0.434,0.9109,0.0464,0.0918
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4141,0.4185,0.9026,0.0394,0.0695,0.4429,0.4438,0.902,0.0373,0.0623
