,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4087,0.4596,0.9166,0.0297,0.0605,0.466,0.491,0.9181,0.0273,0.0473
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4292,0.4571,0.9116,0.0281,0.0489,0.4362,0.4735,0.918,0.0317,0.0667
