_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
24,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
25,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
26,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
27,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
28,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
29,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
30,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
31,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
32,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
33,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
34,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
35,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
36,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
37,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
38,0.411122,0.36488,0.45293,0.374341,0.450599,0.408864,0.344195,0.429636,0.346127,0.421801,0.904163,0.890314,0.911632,0.88924,0.911898,0.016749,0.018144,0.016597,0.018085,0.016748,0.012568,0.013673,0.013435,0.013028,0.013475
