,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,
m,0.3551,0.4408,0.9097,0.0593,0.1455,0.3793,0.467,0.916,0.041,0.0926,0.3774,0.4702,0.9201,0.0455,0.1196
mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3835,0.4602,0.915,0.0369,0.0798,0.3974,0.4855,0.9225,0.0413,0.1012
m+mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.39,0.4592,0.917,0.0353,0.0733,0.3989,0.4775,0.9218,0.0398,0.0956
