DAG,k,Model,Feature,Set,f1,AUPRC,AUROC,Brier,ECE
PC,21,XGBoost,m+mw,OF,0.4666292570376303,0.534351518084252,0.9288108835051702,0.014481539751517494,0.010145152963753264
PC,19,RandomForest,m,OF,0.3361823529952791,0.4664805776613184,0.9225702108336303,0.015618095063723686,0.005630460523107282
PC,5,LightGBM,mw,OF,0.50266314853085,0.48518296430181274,0.9189540800793553,0.016900624639597652,0.014026434213863603
PC,26,Logit,m+mw,OF,0.1192687965540629,0.1480349437718354,0.8547005319499761,0.1682860965997667,0.3280092531012549
