_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
24,0.42537,0.34286,0.444192,0.339051,0.449904,0.389251,0.300548,0.407215,0.298823,0.41066,0.903555,0.878503,0.90801,0.878322,0.907598,0.017126,0.018873,0.016864,0.019128,0.016842,0.012955,0.013677,0.013809,0.014153,0.013951
25,0.435529,0.346947,0.452586,0.332277,0.448463,0.405997,0.31663,0.425733,0.322679,0.427715,0.904205,0.886623,0.912184,0.888004,0.912648,0.016869,0.018658,0.016563,0.018607,0.016562,0.012937,0.013692,0.013168,0.013844,0.013558
26,0.428883,0.334605,0.441857,0.329724,0.469515,0.392687,0.300399,0.419833,0.302249,0.417782,0.900004,0.884305,0.909199,0.884555,0.908303,0.016995,0.019027,0.016821,0.018975,0.016846,0.012643,0.014353,0.01384,0.014132,0.013863
27,0.415631,0.329761,0.450936,0.330128,0.465213,0.397012,0.315742,0.416611,0.309827,0.426706,0.903097,0.887829,0.909181,0.886395,0.911053,0.01715,0.018789,0.016913,0.018896,0.016755,0.012675,0.014253,0.013795,0.014261,0.013647
28,0.427139,0.336191,0.454447,0.349386,0.459089,0.403955,0.30996,0.430603,0.309965,0.433781,0.9008,0.882547,0.912916,0.882028,0.912102,0.016843,0.018683,0.016449,0.018592,0.016341,0.013048,0.013582,0.013677,0.013544,0.013488
29,0.426127,0.327902,0.442345,0.329538,0.443313,0.387905,0.293901,0.410094,0.292109,0.409171,0.901253,0.876972,0.910103,0.878313,0.908546,0.017137,0.019101,0.016869,0.019091,0.016787,0.013497,0.014196,0.013407,0.014385,0.013455
30,0.423901,0.342191,0.444284,0.359763,0.447511,0.403233,0.333971,0.428448,0.329831,0.427734,0.903009,0.885802,0.91348,0.885086,0.912572,0.016987,0.018147,0.016645,0.018219,0.016723,0.012735,0.013589,0.01351,0.013624,0.013727
31,0.419377,0.334919,0.429133,0.331158,0.450121,0.382848,0.309017,0.434263,0.31027,0.434603,0.898841,0.882346,0.916311,0.883957,0.91377,0.017249,0.018811,0.016629,0.0188,0.016635,0.013599,0.014037,0.013656,0.01406,0.0137
32,0.444249,0.345598,0.472599,0.338673,0.461114,0.410839,0.315134,0.443886,0.320089,0.438213,0.901008,0.891406,0.915029,0.891,0.915483,0.016877,0.018517,0.016366,0.018566,0.016536,0.013344,0.01401,0.013527,0.013954,0.012922
33,0.408641,0.311948,0.443403,0.306048,0.441088,0.395337,0.307691,0.430221,0.311349,0.429773,0.901077,0.88668,0.912816,0.88775,0.911744,0.017114,0.018865,0.016755,0.01876,0.016716,0.012898,0.013818,0.013702,0.014125,0.013493
