,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O
exp,row,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
baseline,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
baseline,m,,,,,,0.4638,0.494,0.9176,0.0248,0.0453,0.4627,0.4892,0.9136,0.0247,0.0429,0.0715,0.0603,0.0024,-0.0172,-0.0499,0.0704,0.0555,-0.0016,-0.0173,-0.0523
baseline,mw,,,,,,0.4495,0.4829,0.9122,0.0386,0.0758,0.4569,0.4942,0.9137,0.0267,0.0592,0.0572,0.0492,-0.003,-0.0034,-0.0194,0.0646,0.0605,-0.0015,-0.0153,-0.036
randW,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
randW,m,,,,,,0.4638,0.494,0.9176,0.0248,0.0453,0.4627,0.4892,0.9136,0.0247,0.0429,0.0715,0.0603,0.0024,-0.0172,-0.0499,0.0704,0.0555,-0.0016,-0.0173,-0.0523
randW,mw,,,,,,0.463,0.4989,0.9148,0.0242,0.0406,0.4574,0.4831,0.9131,0.032,0.0646,0.0707,0.0652,-0.0004,-0.0178,-0.0546,0.0651,0.0494,-0.0021,-0.01,-0.0306
randEdge,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
randEdge,m,,,,,,0.3927,0.418,0.9062,0.0317,0.0613,0.4245,0.4674,0.913,0.0253,0.0403,0.0004,-0.0157,-0.009,-0.0103,-0.0339,0.0322,0.0337,-0.0022,-0.0167,-0.0549
randEdge,mw,,,,,,0.3789,0.4124,0.904,0.044,0.0932,0.4245,0.4561,0.9107,0.0369,0.0655,-0.0134,-0.0213,-0.0112,0.002,-0.002,0.0322,0.0224,-0.0045,-0.0051,-0.0297
