,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,
m,0.0,0.1924,0.8292,0.0201,0.019,0.0,0.1951,0.8412,0.0199,0.0202,0.0,0.2079,0.8325,0.0201,0.0208
mw,0.0,0.1924,0.8292,0.0201,0.019,0.0,0.0221,0.5,0.0217,0.0003,0.0,0.1924,0.8292,0.0201,0.019
m+mw,0.0,0.1924,0.8292,0.0201,0.019,0.0,0.1951,0.8412,0.0199,0.0202,0.0,0.2079,0.8325,0.0201,0.0208
