,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3142,0.4542,0.9112,0.0159,0.0054,,,,,,,,,,
m,0.3142,0.4542,0.9112,0.0159,0.0054,0.3503,0.4671,0.9067,0.0157,0.0059,0.3739,0.4678,0.9128,0.0155,0.0057
mw,0.3142,0.4542,0.9112,0.0159,0.0054,0.0043,0.0221,0.5,0.2493,0.4771,0.2538,0.4503,0.9116,0.016,0.0055
m+mw,0.3142,0.4542,0.9112,0.0159,0.0054,0.3092,0.4639,0.9096,0.0157,0.0055,0.3471,0.4685,0.9106,0.0156,0.0056
