,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
m,0.4566,0.5032,0.9148,0.0148,0.0076,0.4816,0.5082,0.9207,0.0149,0.0082,0.48,0.5,0.9149,0.015,0.0077
mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.0,0.0221,0.5,0.0218,0.0135,0.4359,0.477,0.9141,0.0154,0.008
m+mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.4964,0.5118,0.9235,0.0149,0.0079,0.4928,0.5059,0.9146,0.0147,0.0071
