,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.2226,0.3801,0.9174,0.0925,0.1816,,,,,,,,,,
m,0.2226,0.3801,0.9174,0.0925,0.1816,0.2076,0.233,0.8971,0.098,0.1996,0.2153,0.3825,0.9147,0.0988,0.1933
mw,0.2226,0.3801,0.9174,0.0925,0.1816,0.2095,0.248,0.8982,0.0948,0.1882,0.216,0.3614,0.912,0.0975,0.194
m+mw,0.2226,0.3801,0.9174,0.0925,0.1816,0.2085,0.2331,0.8941,0.0953,0.1975,0.2157,0.3524,0.9119,0.0956,0.1923
