,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O
DAG,Model,Feature,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
GES,LightGBM,mw,,,,,,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708,0.0165,0.0049,-0.0005,-0.0011,-0.0113,0.0224,0.0455,0.0049,-0.0102,-0.0244
GES,Logit,original,0.1164,0.1358,0.8471,0.1734,0.3393,,,,,,,,,,,,,,,,,,,,
GES,Logit,m,,,,,,0.0918,0.0644,0.7788,0.2053,0.3982,0.118,0.1328,0.8472,0.1715,0.3358,-0.0246,-0.0714,-0.0683,0.0319,0.0589,0.0016,-0.003,1.00E-04,-0.0019,-0.0035
GES,Logit,mw,,,,,,0.0835,0.0579,0.7584,0.2164,0.423,0.1174,0.1326,0.8457,0.1726,0.3378,-0.0329,-0.0779,-0.0887,0.043,0.0837,0.001,-0.0032,-0.0014,-0.0008,-0.0015
GES,RF,original,0.2888,0.4299,0.9067,0.0162,0.0052,,,,,,,,,,,,,,,,,,,,
GES,RF,m,,,,,,0.2686,0.4317,0.9121,0.0163,0.0049,0.3083,0.4554,0.9087,0.0158,0.0059,-0.0202,0.0018,0.0054,1.00E-04,-0.0003,0.0195,0.0255,0.002,-0.0004,0.0007
GES,RF,mw,,,,,,0.2511,0.4327,0.9112,0.0163,0.0052,0.3169,0.4579,0.911,0.0158,0.006,-0.0377,0.0028,0.0045,1.00E-04,0,0.0281,0.028,0.0043,-0.0004,0.0008
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,,,,,,,,,,,
GES,XGBoost,m,,,,,,0.3793,0.467,0.916,0.041,0.0926,0.3774,0.4702,0.9201,0.0455,0.1196,0.0242,0.0262,0.0063,-0.0183,-0.0529,0.0223,0.0294,0.0104,-0.0138,-0.0259
GES,XGBoost,mw,,,,,,0.3835,0.4602,0.915,0.0369,0.0798,0.3974,0.4855,0.9225,0.0413,0.1012,0.0284,0.0194,0.0053,-0.0224,-0.0657,0.0423,0.0447,0.0128,-0.018,-0.0443
