,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3324,0.2916,0.8976,0.057,0.1452,,,,,,,,,,
m,0.3324,0.2916,0.8976,0.057,0.1452,0.2078,0.1672,0.8583,0.0929,0.2241,0.2609,0.3385,0.8806,0.0733,0.1863
mw,0.3324,0.2916,0.8976,0.057,0.1452,0.0974,0.1452,0.8309,0.0764,0.2121,0.3415,0.3429,0.8946,0.0557,0.1564
m+mw,0.3324,0.2916,0.8976,0.057,0.1452,0.0221,0.0771,0.7712,0.1961,0.4023,0.2158,0.3084,0.9009,0.0611,0.1591
