,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.2209,0.3807,0.9144,0.0915,0.1766,,,,,,,,,,
m,0.2209,0.3807,0.9144,0.0915,0.1766,0.1962,0.2289,0.8782,0.0955,0.1806,0.2169,0.3819,0.9104,0.099,0.1938
mw,0.2209,0.3807,0.9144,0.0915,0.1766,0.1716,0.2241,0.8762,0.1161,0.2207,0.2359,0.3722,0.9138,0.0881,0.1745
m+mw,0.2209,0.3807,0.9144,0.0915,0.1766,0.1885,0.2243,0.8785,0.0975,0.1885,0.2157,0.3896,0.909,0.0952,0.182
