,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3324,0.2916,0.8976,0.057,0.1452,,,,,,,,,,
m,0.3324,0.2916,0.8976,0.057,0.1452,0.1474,0.1996,0.7564,0.0599,0.1637,0.3985,0.3438,0.91,0.0452,0.1336
mw,0.3324,0.2916,0.8976,0.057,0.1452,0.0,0.0218,0.4907,0.0808,0.2329,0.3285,0.3504,0.9062,0.0562,0.143
m+mw,0.3324,0.2916,0.8976,0.057,0.1452,0.0,0.1168,0.835,0.052,0.1673,0.3317,0.345,0.9091,0.0576,0.1376
