,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3324,0.2916,0.8976,0.057,0.1452,,,,,,,,,,
m,0.3324,0.2916,0.8976,0.057,0.1452,0.2786,0.2253,0.8719,0.0647,0.1776,0.3495,0.3216,0.8947,0.0548,0.1492
mw,0.3324,0.2916,0.8976,0.057,0.1452,0.2736,0.2515,0.8842,0.075,0.1817,0.3062,0.3225,0.8962,0.061,0.1534
m+mw,0.3324,0.2916,0.8976,0.057,0.1452,0.2407,0.2056,0.8578,0.0732,0.194,0.2746,0.3396,0.9026,0.0504,0.1336
