,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.2888,0.4299,0.9067,0.0162,0.0052,,,,,,,,,,
m,0.2888,0.4299,0.9067,0.0162,0.0052,0.2686,0.4317,0.9121,0.0163,0.0049,0.3083,0.4554,0.9087,0.0158,0.0059
mw,0.2888,0.4299,0.9067,0.0162,0.0052,0.2511,0.4327,0.9112,0.0163,0.0052,0.3169,0.4579,0.911,0.0158,0.006
m+mw,0.2888,0.4299,0.9067,0.0162,0.0052,0.299,0.4365,0.9117,0.0162,0.0055,0.3302,0.4562,0.9118,0.0158,0.0056
