,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4853,0.4761,0.9069,0.0156,0.0078,,,,,,,,,,
m,,,,,,0.2713,0.233,0.8614,0.0196,0.0082,0.4909,0.4624,0.8941,0.0156,0.007
mw,,,,,,0.1758,0.1292,0.8117,0.0207,0.0056,0.4723,0.4626,0.9022,0.0155,0.0073
