,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.354,0.39,0.9013,0.0433,0.0937,0.423,0.4465,0.9073,0.0317,0.0577
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3671,0.394,0.8998,0.0354,0.069,0.4067,0.4432,0.9086,0.0421,0.0939
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3587,0.3948,0.8961,0.0321,0.0515,0.3975,0.4306,0.9049,0.0476,0.1016
