,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.1406,0.1913,0.8816,0.1477,0.2809,,,,,,,,,,
m,0.1406,0.1913,0.8816,0.1477,0.2809,0.1353,0.2068,0.8955,0.1464,0.2665,0.1443,0.2098,0.895,0.1401,0.2531
mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.0433,0.0221,0.5,0.25,0.4779,0.1406,0.1913,0.8816,0.1477,0.2809
m+mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.1353,0.2068,0.8955,0.1464,0.2665,0.1447,0.2098,0.895,0.14,0.2531
