,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3918,0.4332,0.9146,0.0463,0.1018,,,,,,,,,,
m,0.3918,0.4332,0.9146,0.0463,0.1018,0.3626,0.3898,0.9023,0.0437,0.0984,0.3652,0.422,0.9117,0.0715,0.1595
mw,0.3918,0.4332,0.9146,0.0463,0.1018,0.3701,0.4004,0.9044,0.0341,0.0651,0.3872,0.4301,0.9198,0.0611,0.1296
m+mw,0.3918,0.4332,0.9146,0.0463,0.1018,0.3643,0.3834,0.8954,0.044,0.0987,0.396,0.4347,0.9116,0.0359,0.0711
