,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3414,0.4338,0.9104,0.0635,0.1542,,,,,,,,,,
m,0.3414,0.4338,0.9104,0.0635,0.1542,0.324,0.3934,0.9032,0.0545,0.1268,0.3584,0.4444,0.9142,0.0514,0.123
mw,0.3414,0.4338,0.9104,0.0635,0.1542,0.3012,0.3877,0.9011,0.0622,0.1594,0.371,0.4514,0.9151,0.0436,0.107
m+mw,0.3414,0.4338,0.9104,0.0635,0.1542,0.3331,0.4064,0.9021,0.0456,0.0963,0.3448,0.452,0.9187,0.0486,0.1257
