Minus,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,
GES,LightGBM,m,,,,,,0.3981,0.4444,0.9118,0.0353,0.0732,0.4124,0.4739,0.9178,0.033,0.0755,,,,,16705,780,153,243,16831,654,151,245
GES,LightGBM,mw,,,,,,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708,,,,,16745,740,152,244,16889,596,161,235
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,,16637,848,134,262,,,,,,,,
GES,XGBoost,m,,,,,,0.3793,0.467,0.916,0.041,0.0926,0.3774,0.4702,0.9201,0.0455,0.1196,,,,,16549,936,137,259,16742,743,149,247
GES,XGBoost,mw,,,,,,0.3835,0.4602,0.915,0.0369,0.0798,0.3974,0.4855,0.9225,0.0413,0.1012,,,,,16704,781,142,254,16678,807,142,254
NOTEARS,FFMLP,original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,,17352,133,232,164,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.4506,0.4077,0.8771,0.018,0.0146,0.4676,0.4247,0.8842,0.0176,0.0166,,,,,17425,60,285,111,17416,69,256,140
NOTEARS,FFMLP,mw,,,,,,0.4455,0.3643,0.8675,0.0182,0.0141,0.4662,0.4192,0.8798,0.0179,0.0166,,,,,17424,61,289,107,17427,58,274,122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original-Minus,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,
GES,LightGBM,m,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,249,-249,18,-18,130,-130,16,-16
GES,LightGBM,mw,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,218,-218,14,-14,89,-89,3,-3
GES,XGBoost,original,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,
GES,XGBoost,m,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,251,-251,11,-11,71,-71,1,-1
GES,XGBoost,mw,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,49,-49,-3,3,167,-167,2,-2
NOTEARS,FFMLP,original,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.031,0.1005,0.0436,-0.0031,-0.0064,0.0124,0.0753,0.0307,-0.0026,-0.0089,,,,,-145,145,-58,58,-196,196,-35,35
NOTEARS,FFMLP,mw,,,,,,-0.4455,-0.3422,-0.3675,0.0036,-0.0006,-0.0303,0.0578,0.0343,-0.0025,-0.0086,,,,,-104,104,-61,61,-121,121,-53,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,
GES,LightGBM,m,,,,,,0.3981,0.4444,0.9118,0.0353,0.0732,0.4124,0.4739,0.9178,0.033,0.0755,,,,,16954,531,171,225,16963,522,166,230
GES,LightGBM,mw,,,,,,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708,,,,,16961,524,167,229,16978,507,164,232
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,,16637,848,134,262,,,,,,,,
GES,XGBoost,m,,,,,,0.3793,0.467,0.916,0.041,0.0926,0.3774,0.4702,0.9201,0.0455,0.1196,,,,,16800,685,148,248,16753,732,139,257
GES,XGBoost,mw,,,,,,0.3835,0.4602,0.915,0.0369,0.0798,0.3974,0.4855,0.9225,0.0413,0.1012,,,,,16813,672,150,246,16845,640,144,252
NOTEARS,FFMLP,original,0.468,0.4305,0.8805,0.0177,0.0162,,,,,,,,,,,17352,133,232,164,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.4506,0.4077,0.8771,0.018,0.0146,0.4676,0.4247,0.8842,0.0176,0.0166,,,,,17280,205,227,169,17320,165,228,168
NOTEARS,FFMLP,mw,,,,,,0.4455,0.3643,0.8675,0.0182,0.0141,0.4662,0.4192,0.8798,0.0179,0.0166,,,,,17220,265,221,175,17306,179,221,175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original-Trans,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,
GES,LightGBM,m,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-2,2,1,-1
GES,LightGBM,mw,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,2,-2,-1,1,0,0,0,0
GES,XGBoost,original,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,
GES,XGBoost,m,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,60,-60,11,-11
GES,XGBoost,mw,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,-60,60,-11,11,0,0,0,0
NOTEARS,FFMLP,original,-0.0114,0.0727,0.0343,-0.0029,-0.0086,,,,,,,,,,,0,0,0,0,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.031,0.1005,0.0436,-0.0031,-0.0064,0.0124,0.0753,0.0307,-0.0026,-0.0089,,,,,0,0,0,0,-100,100,-7,7
NOTEARS,FFMLP,mw,,,,,,-0.4455,-0.3422,-0.3675,0.0036,-0.0006,-0.0303,0.0578,0.0343,-0.0025,-0.0086,,,,,100,-100,7,-7,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intervention,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0.3918,0.4332,0.9146,0.0463,0.1018,,,,,,,,,,,16863,622,163,233,,,,,,,,
GES,LightGBM,m,,,,,,0.3626,0.3898,0.9023,0.0437,0.0984,0.3652,0.422,0.9117,0.0715,0.1595,,,,,16787,698,161,235,16782,703,165,231
GES,LightGBM,mw,,,,,,0.3701,0.4004,0.9044,0.0341,0.0651,0.3872,0.4301,0.9198,0.0611,0.1296,,,,,16904,581,180,216,16813,672,159,237
GES,XGBoost,original,0.3414,0.4338,0.9104,0.0635,0.1542,,,,,,,,,,,16605,880,138,258,,,,,,,,
GES,XGBoost,m,,,,,,0.324,0.3934,0.9032,0.0545,0.1268,0.3584,0.4444,0.9142,0.0514,0.123,,,,,16536,949,149,247,16722,763,145,251
GES,XGBoost,mw,,,,,,0.3012,0.3877,0.9011,0.0622,0.1594,0.371,0.4514,0.9151,0.0436,0.107,,,,,16413,1072,143,253,16772,713,147,249
NOTEARS,FFMLP,original,0.4251,0.3762,0.8725,0.0203,0.0193,,,,,,,,,,,17268,217,228,168,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.4312,0.371,0.8788,0.0177,0.0109,0.4308,0.3901,0.8809,0.0184,0.0169,,,,,17255,230,217,179,17304,181,238,158
NOTEARS,FFMLP,mw,,,,,,0.4496,0.3782,0.8846,0.0176,0.0113,0.4176,0.3655,0.8702,0.0189,0.0165,,,,,17215,270,219,177,17288,197,238,158
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original-Intervention,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0.0005,0.0005,0.0006,-0.0043,-0.0066,,,,,,,,,,,28,-28,-4,4,,,,,,,,
GES,LightGBM,m,,,,,,0.0355,0.0546,0.0095,-0.0084,-0.0252,0.0472,0.0519,0.0061,-0.0385,-0.084,,,,,167,-167,10,-10,179,-179,2,-2
GES,LightGBM,mw,,,,,,0.0387,0.0382,0.0103,0.0068,0.0188,0.0275,0.0491,0.0003,-0.0293,-0.0588,,,,,59,-59,-14,14,165,-165,5,-5
GES,XGBoost,original,0.0137,0.007,-0.0007,-0.0042,-0.0087,,,,,,,,,,,32,-32,-4,4,,,,,,,,
GES,XGBoost,m,,,,,,0.0553,0.0736,0.0128,-0.0135,-0.0342,0.019,0.0258,0.0059,-0.0059,-0.0034,,,,,264,-264,-1,1,91,-91,5,-5
GES,XGBoost,mw,,,,,,0.0823,0.0725,0.0139,-0.0253,-0.0796,0.0264,0.0341,0.0074,-0.0023,-0.0058,,,,,340,-340,-4,4,73,-73,-3,3
NOTEARS,FFMLP,original,0.0315,0.127,0.0423,-0.0055,-0.0117,,,,,,,,,,,84,-84,4,-4,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.0504,0.1372,0.0419,-0.0028,-0.0027,0.0492,0.1099,0.034,-0.0034,-0.0092,,,,,25,-25,10,-10,-84,84,-17,17
NOTEARS,FFMLP,mw,,,,,,-0.4496,-0.3561,-0.3846,0.0042,0.0022,0.0183,0.1115,0.0439,-0.0035,-0.0085,,,,,105,-105,9,-9,18,-18,-17,17
