,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,
m,,,,,,0.0682,0.0502,0.6375,0.0241,0.0191,0.4863,0.4824,0.9137,0.0161,0.0154
mw,,,,,,0.0592,0.0497,0.6566,0.0243,0.0191,0.4775,0.4842,0.9163,0.016,0.0155
