dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
GOLEM,1,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.514
GOLEM,1,Logit,F,m,0.06657003807944253,0.0401859896742965,0.6718877696585374,0.23171191359318902,0.4398810880343299,0.173
GOLEM,1,Logit,OF,m,0.11648029764697312,0.13009668253978277,0.849037018584345,0.17204962791816772,0.33437393002741833,0.518
GOLEM,1,Logit,F,mw,0.06677435723345547,0.0401859896742965,0.6718877696585374,0.2318643799646388,0.43641042524992335,0.186
GOLEM,1,Logit,OF,mw,0.11574538895677448,0.12942230697094792,0.8487789603757449,0.17227600346215607,0.3344349854894723,0.491
GOLEM,1,Logit,F,m+mw,0.06671702727901664,0.0401859896742965,0.6718877696585374,0.23197690325372186,0.43471589085581874,0.156
GOLEM,1,Logit,OF,m+mw,0.11599457192114818,0.13130826931665482,0.84896804292858,0.17218284662409733,0.3343450936320368,0.534
GOLEM,1,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,15.699
GOLEM,1,RandomForest,F,m,0.03990496502037015,0.031219346956008403,0.5352754888632685,0.03611583503348855,0.0437136970979871,14.492
GOLEM,1,RandomForest,OF,m,0.25882819967333215,0.45081648320732226,0.9103266776390644,0.01599344821967736,0.005698621594431795,16.197
GOLEM,1,RandomForest,F,mw,0.04137182234702672,0.031836382802720914,0.5322832929765786,0.036239762806471856,0.04388715780969893,14.554
GOLEM,1,RandomForest,OF,mw,0.25882819967333215,0.4508427989847288,0.9105891200219624,0.015993217158197372,0.005697922567442349,16.263
GOLEM,1,RandomForest,F,m+mw,0.03894861999480123,0.03150681028295814,0.5332311413640209,0.03590306879001652,0.04369104990528147,14.453
GOLEM,1,RandomForest,OF,m+mw,0.2553195789133881,0.4463548082747594,0.9150729371905865,0.01608716843932221,0.004987314348310518,16.671
GOLEM,1,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,5.264
GOLEM,1,XGBoost,F,m,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418,3.432
GOLEM,1,XGBoost,OF,m,0.4484491645118437,0.4931128244793017,0.9193839612694583,0.015021451083344291,0.008705505337514862,5.35
GOLEM,1,XGBoost,F,mw,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418,3.419
GOLEM,1,XGBoost,OF,mw,0.4484491645118437,0.4931128244793017,0.9193839612694583,0.015021451083344291,0.008705505337514862,5.373
GOLEM,1,XGBoost,F,m+mw,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418,3.381
GOLEM,1,XGBoost,OF,m+mw,0.46391610274079476,0.4887755747223905,0.9207973028199918,0.01508079810557707,0.008963788743346128,5.686
