dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
PC,1,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.38
PC,1,Logit,F,m,0.05903544488443461,0.03763764804115846,0.6499642049713021,0.2367593178493364,0.447004375106863,0.126
PC,1,Logit,OF,m,0.11620386122623423,0.13591960711801146,0.8508782504093588,0.17186077528299865,0.33419389927120857,0.444
PC,1,Logit,F,mw,0.05898433257574298,0.03763764804115846,0.6499642049713021,0.2367002974820418,0.44759126541696964,0.127
PC,1,Logit,OF,mw,0.11600989052686614,0.1334695862639489,0.8504443891283028,0.17188448225205843,0.3341692725339097,0.341
PC,1,Logit,F,m+mw,0.05893692376946689,0.03763764804115846,0.6499642049713021,0.2368486921001783,0.44598963455233226,0.107
PC,1,Logit,OF,m+mw,0.11557699951076153,0.13747739153287203,0.8512143401899349,0.1718388989531612,0.3338325752424806,0.381
PC,1,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,14.296
PC,1,RandomForest,F,m,0.062462072587962346,0.032337759964061005,0.5640407943901156,0.11125453850378275,0.17883234821323804,10.666
PC,1,RandomForest,OF,m,0.26821324637392474,0.4509596089821633,0.9169480511063612,0.015982506010584815,0.005082723404148894,14.759
PC,1,RandomForest,F,mw,0.06248887505378921,0.032300245324759315,0.5630600778315012,0.11126291334725717,0.17883166310789606,10.86
PC,1,RandomForest,OF,mw,0.26821324637392474,0.4509596089821633,0.9169480511063612,0.015982506010584815,0.005082723404148894,15.348
PC,1,RandomForest,F,m+mw,0.06248887505378921,0.03230148241513863,0.5630618143289363,0.1112535071215039,0.17886520376988607,10.956
PC,1,RandomForest,OF,m+mw,0.2675416259217633,0.44319136559846556,0.9088614243155417,0.016094642799474916,0.005561228949471228,15.295
PC,1,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,4.533
PC,1,XGBoost,F,m,0.0,0.03605800637021831,0.614847468916027,0.021714030854323513,0.0009553544234968681,2.581
PC,1,XGBoost,OF,m,0.44643574464433355,0.4904774752009776,0.9200574937298308,0.015028813418640836,0.008671931660280963,4.573
PC,1,XGBoost,F,mw,0.0,0.03605800637021831,0.614847468916027,0.021714030854323513,0.0009553544234968681,2.341
PC,1,XGBoost,OF,mw,0.44643574464433355,0.4904774752009776,0.9200574937298308,0.015028813418640836,0.008671931660280963,3.617
PC,1,XGBoost,F,m+mw,0.0,0.03605800637021831,0.614847468916027,0.021714030854323513,0.0009553544234968681,2.307
PC,1,XGBoost,OF,m+mw,0.45248274346188266,0.4862742646914415,0.9217120056273428,0.01509470878902541,0.008757730750527448,3.699
PC,1,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,14.173
PC,1,LightGBM,F,m,0.05405825516984741,0.031124360906640725,0.5894447566277636,0.21676123455148444,0.3422640941989634,13.093
PC,1,LightGBM,OF,m,0.4676255137051977,0.4457256958427428,0.9072301806428678,0.018226911398333257,0.015649066534768042,15.471
PC,1,LightGBM,F,mw,0.05405825516984741,0.030973146354126974,0.5889728229355593,0.21677904944491982,0.34228472968575907,14.623
PC,1,LightGBM,OF,mw,0.4676255137051977,0.4457256958427428,0.9072301806428678,0.018226911398333257,0.015649066534768042,18.159
PC,1,LightGBM,F,m+mw,0.05405825516984741,0.031124360906640725,0.5894447566277636,0.21676123455148444,0.3422640941989634,16.055
PC,1,LightGBM,OF,m+mw,0.46273522705588344,0.4503038784047425,0.9107094372533041,0.018239239213401082,0.015564239636898135,17.586
PC,2,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.408
PC,2,Logit,F,m,0.05832760050205983,0.03650174505906248,0.6473969670290802,0.23665932454024824,0.4471888844786361,0.163
PC,2,Logit,OF,m,0.11678298236988646,0.13447567745473687,0.8492086835137383,0.1711239367043863,0.33294150213484747,0.357
PC,2,Logit,F,mw,0.058599795586969115,0.037332443042946604,0.6493117109912045,0.23658759053272732,0.4477913831594263,0.161
PC,2,Logit,OF,mw,0.11685688918811206,0.13282911144457032,0.8489053571093692,0.17139294306926292,0.333251945603671,0.374
PC,2,Logit,F,m+mw,0.05848506079825627,0.03531586298425464,0.6436765186639707,0.2369398953956817,0.4460461082940748,0.17
PC,2,Logit,OF,m+mw,0.1165272328088682,0.13637305431797375,0.8494587398992163,0.17112924477880895,0.33240643291862254,0.429
PC,2,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,14.597
PC,2,RandomForest,F,m,0.019100538653666756,0.04120987156699293,0.642342790275846,0.02561497842770094,0.024461759243393555,12.296
PC,2,RandomForest,OF,m,0.27004603197043286,0.4405712444303472,0.9103921440788103,0.016171080287829678,0.005415865724293251,16.73
PC,2,RandomForest,F,mw,0.019100538653666756,0.04119266458590814,0.6402452735688697,0.025601599963917414,0.024476145468921066,13.242
PC,2,RandomForest,OF,mw,0.27004603197043286,0.4405660813481651,0.9103914293846993,0.01617109670761727,0.005415725981420138,16.753
PC,2,RandomForest,F,m+mw,0.018963317384370015,0.04024917530407711,0.6299939941980576,0.02591806236198204,0.02555104632252057,19.88
PC,2,RandomForest,OF,m+mw,0.2755913109180586,0.44179766255420505,0.9077067251877142,0.016123089828641475,0.005541316215300312,31.31
PC,2,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,14.263
PC,2,XGBoost,F,m,0.0,0.05398150529423677,0.6887966825503795,0.021627348983323174,0.004410934805354688,9.841
PC,2,XGBoost,OF,m,0.45422016832997,0.4942916721815047,0.9205912225574318,0.014970184113919085,0.008724839981186087,13.679
PC,2,XGBoost,F,mw,0.0,0.05398150529423677,0.6887966825503795,0.021627348983323174,0.004410934805354688,10.454
PC,2,XGBoost,OF,mw,0.45422016832997,0.4942916721815047,0.9205912225574318,0.014970184113919085,0.008724839981186087,14.819
PC,2,XGBoost,F,m+mw,0.0,0.06034913555096407,0.7279848571884079,0.02173757784884911,0.006655944978962691,9.64
PC,2,XGBoost,OF,m+mw,0.44277664541548384,0.49149781650221025,0.9230056646186402,0.015080787408456428,0.009126908873214639,16.514
PC,2,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,27.175
PC,2,LightGBM,F,m,0.09520824233382448,0.05168031033612845,0.7000990053783678,0.08270805593717431,0.1103978138757753,22.022
