child,parent,coef,r2,n_parents
asset_turnover,capitalization_ratio,-0.05994441825813126,0.265309375978497,5
asset_turnover,leverage_ratio,0.14418335641076938,0.265309375978497,5
asset_turnover,rect_turn,0.4396562440817665,0.265309375978497,5
asset_turnover,roe,0.13943480681732878,0.265309375978497,5
asset_turnover,totaldebt_invcap,0.1312520388586944,0.265309375978497,5
debt_ratio,capitalization_ratio,0.03198601813827269,0.6583533350915816,5
debt_ratio,leverage_ratio,0.7070197294218186,0.6583533350915816,5
debt_ratio,rect_turn,-0.33246914998026433,0.6583533350915816,5
debt_ratio,roa,-0.030619620315534186,0.6583533350915816,5
debt_ratio,roe,0.11274438875175946,0.6583533350915816,5
debt_ratio2,asset_liabilities,-0.1634888865510577,0.7527341840985213,7
debt_ratio2,capitalization_ratio,0.9820102091338434,0.7527341840985213,7
debt_ratio2,debt_ratio,-0.32695599492186966,0.7527341840985213,7
debt_ratio2,leverage_ratio,-0.09667648483170943,0.7527341840985213,7
debt_ratio2,longtermdebt_invcap,-0.3609781742266332,0.7527341840985213,7
debt_ratio2,roa,0.17001458602140873,0.7527341840985213,7
debt_ratio2,totaldebt_invcap,0.5994866899238328,0.7527341840985213,7
