,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3557,0.4415,0.9098,0.0589,0.1443,,,,,,,,,,
m,0.3557,0.4415,0.9098,0.0589,0.1443,0.3817,0.4621,0.9156,0.0399,0.0885,0.3885,0.47,0.9216,0.0406,0.1018
mw,0.3557,0.4415,0.9098,0.0589,0.1443,0.3897,0.4644,0.9152,0.0349,0.072,0.3931,0.4825,0.9222,0.0431,0.1089
m+mw,0.3557,0.4415,0.9098,0.0589,0.1443,0.3828,0.4581,0.9172,0.036,0.0758,0.3968,0.4735,0.9214,0.0394,0.0929
