,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3891,0.4396,0.9154,0.0436,0.0991,,,,,,,,,,
m,0.3891,0.4396,0.9154,0.0436,0.0991,0.4353,0.451,0.9159,0.0275,0.0474,0.4355,0.4864,0.9195,0.0272,0.0515
mw,0.3891,0.4396,0.9154,0.0436,0.0991,0.3936,0.4374,0.9095,0.0396,0.09,0.4042,0.4701,0.9131,0.0448,0.1115
m+mw,0.3891,0.4396,0.9154,0.0436,0.0991,0.4081,0.4442,0.9125,0.0297,0.0558,0.435,0.4699,0.9084,0.0391,0.0839
