,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.4676,0.4997,0.9189,0.0149,0.0074,,,,,,,,,,
m,0.4676,0.4997,0.9189,0.0149,0.0074,0.4242,0.454,0.9153,0.0159,0.0086,0.4579,0.4608,0.91,0.0158,0.0095
mw,0.4676,0.4997,0.9189,0.0149,0.0074,0.0,0.0235,0.5506,0.0217,0.0026,0.4762,0.5094,0.9129,0.0148,0.0064
m+mw,0.4676,0.4997,0.9189,0.0149,0.0074,0.3815,0.4479,0.9106,0.0162,0.0092,0.4842,0.4844,0.9114,0.0152,0.0076
