_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
24,0.042332,0.037545,0.035783,0.037545,0.0224,0.054824,0.050098,0.054812,0.050098,0.05475,0.690006,0.687017,0.684901,0.687017,0.691392,0.021954,0.022105,0.022041,0.022105,0.022073,0.019865,0.020429,0.02062,0.020429,0.020701
25,0.060929,0.03887,0.052525,0.03887,0.040246,0.061117,0.046292,0.057786,0.046292,0.064014,0.673174,0.66188,0.666077,0.66188,0.67506,0.021861,0.022002,0.021964,0.022002,0.02194,0.019807,0.020058,0.020491,0.020058,0.020532
26,0.02541,0.03278,0.036486,0.03278,0.031646,0.052658,0.05234,0.058464,0.05234,0.058737,0.686442,0.66228,0.682338,0.66228,0.68091,0.02202,0.021985,0.021976,0.021985,0.021948,0.019902,0.020146,0.020529,0.020146,0.020488
27,0.043891,0.011704,0.016189,0.011704,0.027541,0.053595,0.048552,0.047123,0.048552,0.052869,0.668497,0.677462,0.672915,0.677462,0.664644,0.021995,0.022054,0.022069,0.022054,0.022072,0.019747,0.020172,0.020518,0.020172,0.020627
28,0.01674,0.027075,0.032356,0.027075,0.032051,0.051495,0.043216,0.051255,0.043216,0.055703,0.665512,0.655729,0.662216,0.655729,0.664128,0.021994,0.02207,0.022028,0.02207,0.021989,0.019791,0.020072,0.02062,0.020072,0.020538
29,0.053769,0.037204,0.031708,0.037204,0.020418,0.055766,0.047588,0.054089,0.047588,0.048406,0.675998,0.65559,0.669599,0.65559,0.658419,0.021901,0.02201,0.021992,0.02201,0.02203,0.019649,0.019937,0.020486,0.019937,0.020485
30,0.043252,0.030705,0.035201,0.030705,0.046782,0.055805,0.056527,0.056054,0.056527,0.058692,0.689724,0.685931,0.689145,0.685931,0.686409,0.022003,0.022014,0.022036,0.022014,0.021988,0.019966,0.020133,0.020685,0.020133,0.020599
31,0.0446,0.023424,0.030241,0.023424,0.026335,0.06164,0.055847,0.060697,0.055847,0.059668,0.671293,0.67552,0.684722,0.67552,0.679833,0.021882,0.021977,0.02193,0.021977,0.02199,0.019875,0.020278,0.020521,0.020278,0.020592
32,0.03828,0.044483,0.019192,0.044483,0.028065,0.058814,0.0541,0.052187,0.0541,0.052773,0.687023,0.668718,0.674878,0.668718,0.674103,0.02194,0.022003,0.022046,0.022003,0.022053,0.019826,0.020133,0.020608,0.020133,0.020597
33,0.036791,0.031906,0.036511,0.031906,0.020268,0.05917,0.055258,0.057435,0.055258,0.053571,0.690197,0.66522,0.677658,0.66522,0.675634,0.022016,0.02197,0.022003,0.02197,0.022043,0.020049,0.019988,0.020671,0.019988,0.020734
34,0.031713,0.040763,0.03428,0.040763,0.046347,0.05168,0.06036,0.056687,0.06036,0.056095,0.668645,0.672522,0.67459,0.672522,0.672651,0.022067,0.021968,0.022025,0.021968,0.022004,0.020105,0.020299,0.020664,0.020299,0.02068
35,0.024464,0.03395,0.048387,0.03395,0.03547,0.051681,0.05719,0.061615,0.05719,0.05976,0.685994,0.666905,0.688645,0.666905,0.682727,0.02201,0.021972,0.021969,0.021972,0.022051,0.019959,0.02009,0.020424,0.02009,0.020641
36,0.026865,0.039739,0.034376,0.039739,0.048485,0.055855,0.04872,0.05264,0.04872,0.053673,0.671345,0.660987,0.671446,0.660987,0.671124,0.021931,0.022004,0.022041,0.022004,0.022009,0.019762,0.020212,0.020625,0.020212,0.020516
37,0.07027,0.046229,0.01527,0.046229,0.050266,0.074373,0.05769,0.056689,0.05769,0.060402,0.708243,0.677858,0.685934,0.677858,0.689463,0.021847,0.022007,0.022033,0.022007,0.022001,0.019836,0.020325,0.020566,0.020325,0.020659
38,0.060646,0.038887,0.038246,0.038887,0.026319,0.066359,0.054266,0.059876,0.054266,0.059275,0.667461,0.66416,0.667728,0.66416,0.666056,0.021835,0.021985,0.02198,0.021985,0.021981,0.019693,0.019911,0.020513,0.019911,0.020647
39,0.04856,0.043923,0.016786,0.043923,0.040472,0.062031,0.057795,0.059391,0.057795,0.064279,0.693858,0.682352,0.675041,0.682352,0.690152,0.021941,0.02196,0.021988,0.02196,0.021986,0.019842,0.02006,0.020788,0.02006,0.020661
40,0.049511,0.025944,0.013148,0.025944,0.027146,0.04977,0.045589,0.04817,0.045589,0.053488,0.667281,0.647014,0.655788,0.647014,0.652668,0.022012,0.022015,0.022063,0.022015,0.022024,0.019863,0.020017,0.02063,0.020017,0.020535
41,0.043676,0.040006,0.026263,0.040006,0.02623,0.055519,0.054881,0.054559,0.054881,0.057998,0.679023,0.677796,0.685228,0.677796,0.684478,0.021996,0.022005,0.022048,0.022005,0.02206,0.019989,0.020217,0.020422,0.020217,0.020819
42,0.044509,0.011851,0.007636,0.011851,0.01914,0.058705,0.047889,0.053828,0.047889,0.054897,0.671331,0.663009,0.665503,0.663009,0.664779,0.021959,0.022106,0.022074,0.022106,0.022075,0.019778,0.020392,0.020693,0.020392,0.020732
43,0.013682,0.02374,0.0,0.02374,0.004255,0.052708,0.050245,0.050553,0.050245,0.053007,0.698237,0.672174,0.69424,0.672174,0.691828,0.022094,0.022039,0.022109,0.022039,0.022065,0.020125,0.020235,0.020789,0.020235,0.020878
44,0.02871,0.030053,0.015656,0.030053,0.031452,0.05117,0.050586,0.050212,0.050586,0.055011,0.688759,0.664806,0.673247,0.664806,0.67508,0.022015,0.022036,0.022084,0.022036,0.022056,0.019928,0.020443,0.020747,0.020443,0.020595
45,0.065773,0.034242,0.050355,0.034242,0.038527,0.066909,0.047683,0.062075,0.047683,0.061662,0.688267,0.653132,0.68216,0.653132,0.674888,0.021903,0.022061,0.021963,0.022061,0.021994,0.019826,0.020443,0.020677,0.020443,0.020673
