,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3979,0.4277,0.9048,0.0499,0.1142,0.4522,0.4813,0.9217,0.031,0.0618
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4085,0.4567,0.908,0.0414,0.0885,0.4553,0.4845,0.9232,0.0283,0.0598
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4084,0.4697,0.9078,0.028,0.0525,0.4497,0.4818,0.9231,0.042,0.0684
