,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4112,0.4548,0.9174,0.036,0.0674,0.4439,0.4836,0.9167,0.0364,0.0817
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4403,0.4737,0.9125,0.0245,0.0355,0.4404,0.4758,0.9173,0.036,0.0754
