,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4165,0.4724,0.9161,0.0284,0.0534,0.4366,0.4765,0.9145,0.0401,0.0819
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3952,0.4552,0.9122,0.0517,0.1136,0.4586,0.4855,0.914,0.0267,0.0507
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4181,0.4513,0.9101,0.0438,0.0782,0.4715,0.4948,0.9176,0.0216,0.0287
