,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3981,0.4444,0.9118,0.0353,0.0732,0.4124,0.4739,0.9178,0.033,0.0755
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4047,0.4375,0.9103,0.0347,0.074,0.435,0.4618,0.9096,0.0363,0.0753
