,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.2764,0.2823,0.8847,0.0762,0.1535,0.4307,0.4687,0.9203,0.0354,0.0823
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.2758,0.282,0.878,0.0761,0.1623,0.3984,0.4724,0.919,0.0435,0.1052
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.2742,0.2797,0.8843,0.0681,0.1404,0.4259,0.479,0.9178,0.0367,0.0768
