,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4372,0.4605,0.919,0.0412,0.0791,0.4399,0.4723,0.9156,0.0373,0.0848
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.443,0.4849,0.9201,0.0233,0.0329,0.4341,0.4579,0.9155,0.0439,0.1031
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4557,0.4892,0.9185,0.023,0.03,0.4477,0.4752,0.9188,0.0414,0.0743
