,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.3766,0.3831,0.9013,0.0454,0.1078,0.3987,0.4577,0.9143,0.0666,0.1503
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3621,0.3966,0.8999,0.044,0.1028,0.3643,0.4229,0.9123,0.0985,0.2254
m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.3672,0.3962,0.8996,0.0403,0.0871,0.3999,0.4745,0.9109,0.041,0.1071
