,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.1406,0.1913,0.8816,0.1477,0.2809,,,,,,,,,,
m,0.1406,0.1913,0.8816,0.1477,0.2809,0.1106,0.0979,0.8208,0.1808,0.3333,0.1598,0.2471,0.9033,0.1284,0.2362
mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.1106,0.0979,0.8208,0.1808,0.3333,0.1598,0.2472,0.9033,0.1284,0.2362
