,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.448,0.4496,0.9141,0.016,0.0065,,,,,,,,,,
m,,,,,,0.3808,0.3517,0.8977,0.0175,0.0061,0.4586,0.4503,0.9116,0.016,0.0068
mw,,,,,,0.3858,0.352,0.8961,0.0175,0.0061,0.4413,0.4513,0.9171,0.016,0.0065
