,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.1164,0.1358,0.8471,0.1734,0.3393,,,,,,,,,,
m,0.1164,0.1358,0.8471,0.1734,0.3393,0.0918,0.0644,0.7788,0.2053,0.3982,0.118,0.1328,0.8472,0.1715,0.3358
mw,0.1164,0.1358,0.8471,0.1734,0.3393,0.0835,0.0579,0.7584,0.2164,0.423,0.1174,0.1326,0.8457,0.1726,0.3378
m+mw,0.1164,0.1358,0.8471,0.1734,0.3393,0.094,0.0651,0.7801,0.2039,0.3939,0.1194,0.1319,0.847,0.1711,0.3349
