,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3142,0.4543,0.9118,0.0159,0.0055,,,,,,,,,,
m,0.3142,0.4543,0.9118,0.0159,0.0055,0.2192,0.3643,0.8961,0.0173,0.0052,0.3019,0.4362,0.9084,0.0161,0.0056
mw,0.3142,0.4543,0.9118,0.0159,0.0055,0.2322,0.3683,0.8934,0.0173,0.0056,0.3027,0.4395,0.9088,0.0161,0.0058
