,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4604,0.4835,0.9113,0.0417,0.0862,0.4506,0.4871,0.9133,0.0264,0.0537
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4843,0.4904,0.9162,0.0401,0.0662,0.4837,0.4963,0.9141,0.0221,0.031
