,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
m,0.3923,0.4337,0.9152,0.042,0.0952,0.4122,0.4591,0.9098,0.0327,0.0698,0.4373,0.4805,0.9164,0.0284,0.0555
mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4538,0.4737,0.9102,0.0241,0.0386,0.4562,0.4836,0.914,0.0246,0.0422
